mbti,description
enfj,"직관적으로 사람을 파악하는 데 능하고, 도움을 주기 위해 적극적으로 나서는 편이다[8순위근거1]."
enfj,누군가를 성장시켜 줄 기회가 있다면 전폭적인 지원을 아끼지 않는다[8순위근거1].
enfj,전형적인 모범생 학생회장 유형이다[100].
enfj,군중을 이끄는 뛰어난 리더십이 있다[8순위근거1].
enfj,"말하는 재능, 글쓰는 재능이 뛰어나다[8순위근거1]."
enfj,"대중과 상대방의 분위기를 읽는 공감 능력이 탁월하기에, 유머 감각이 뛰어나다.[8순위근거1]."
enfj,"다른 사람의 의도와 믿음을 간파하는 데 놀라운 소질이 있으며, 타인의 생각과 감정을 빠르게 파악할 수 있다. 한 마디로 눈치가 매우 빠르다[16per]."
enfj,사람을 굉장히 좋아한다[8순위근거1].
enfj,감정이입에 뛰어나 스스로 스트레스를 받는 경우도 있다[100].
enfj,타인에 대한 관심이 많아 간혹 오지랖이 넓다는 평가를 받는다[100].
enfj,이상주의적이라 사람과 인간관계를 이상화하는 성향이 있다[8순위근거1].
enfj,인간관계 유지에 큰 의미를 부여하는 유형이다[100].
enfj,정말로 가치 있다고 여기는 일에 대해 매우 헌신적이다[8순위근거1].
enfj,친구와 연인의 발전을 돕는 일에서 즐거움과 깊은 만족감을 느낀다[16per].
enfj,"대가 없는 베풂을 굉장히 좋아한다. 호감있는 사람에게는 간이고 쓸개고 빼 주는 편이지만, 싫어하는 사람에게는 칼같이 끊는 편이다[8순위근거1]."
enfj,"불건강한 ENFJ는 편가르기를 좋아하고 고정관념이 강하며, 자신의 가치관과 다른 사람을 비난할 수 있다. 그러나 이들은 갈등을 싫어하기 때문에 직접적으로 대립하지는 않는다."
enfj,다른 사람의 감정을 그대로 흡수하기 때문에 공감 번아웃에 취약하다.[44] 
enfj,"대의명분, 사회 제도에 충실하다[8순위근거1]."
enfj,외교적이고 주변과의 조화능력이 탁월하다. 하지만 가끔 타인의 문제나 감정에 지나치게 관여할 때가 있다[8순위근거1].
enfj,성급하게 자기 생각을 강요하기보다는 세심함과 통찰력으로 다른 사람의 공감을 이끌어내는 방법을 선택할 때가 많다[16per].
enfj,친구가 무엇을 느끼고 있는지는 정확히 알면서도 자신의 감정을 인지하는 데는 서툴다. 우울할 때는 혼자 있기보다 대화할 사람을 찾는다.
enfj,자기 반성과 자책을 발전의 원동력으로 삼는다[100].
enfj,"관심사가 다양하며, 학습 속도가 빠르다[8순위근거1]."
enfj,삶의 의미를 끊임없이 탐구한다[8순위근거1].
enfj,경쟁적이거나 긴장이 팽배한 환경에서는 일하기 힘들 수 있다[8순위근거1].
enfj,타인의 시선을 많이 의식하는 경향이 있다[8순위근거1].
enfj,모든 것을 자기 자신과 연결시키려는 성향이 있다[8순위근거1].
enfj,성격이 급해 가끔은 충동적으로 행동할 때가 있다[8순위근거1].
enfj,질서정연하고 모범적인 세계를 선호한다[8순위근거1].
enfj,자기 반성은 잘하지만 남을 비판하는 데는 능숙하지 않다[8순위근거1].
enfj,철학적이고 의미 있는 주제에 대해 토론하는 것을 즐긴다.
enfj,특유의 설득력 있는 연설 능력으로 함께 추구해야 할 공통된 목표를 설정하고 제시하며 사람들을 이끈다[16per].
enfj,더 밝은 미래 구현을 위해 앞장서서 사람들을 리드하는 것을 좋아한다[16per].
enfj,"연예인, 방송인, 언론인, PD, 교육자, 외교관 등의 직업이 적합하다[3순위근거1]."
enfj,평균 IQ(지능 지수)가 16개 유형 중 8위로 직관형(N) 중에서는 가장 낮다.[60] 평균 학업 성취도는 7위다.
enfj,선악의 구분이 다소 확실한 편이다.
enfj,대체로 집안 분위기를 자유롭게 해주는 편이다.
enfj,자녀의 의견과 생각을 펼칠 수 있도록 환경을 조성하는 편이다.
enfj,성격에 워낙 편견이 없어 사람이 맞나 싶을 수도 있다.
enfj,자녀에게도 정신적 지주가 되어주고 싶어한다.
enfj,주제에 구애받지 않는다. 자녀와 의견을 나눌 수 있는 것이라면 무엇이든 대화 주제가 될 수 있다.
enfj,자녀에게 예의를 가르치는 것이 필수라고 생각한다.
enfj,친화력도 좋고 주변인들을 잘 챙기기에 평판이 아주 좋다.
enfj,남을 도와주는 일에서는 절대로 주저하지 않는다.
enfj,친구들의 고민 상담을 해주는 데 소질이 있을 수 있다.
enfj,특유의 언변을 활용해 친구들을 센스 있게 격려해주기도 한다.
enfj,"체계적이면서도 사교성이 풍부한 ENFJ는 맹목적인 사랑을 하는 타입입니다. 연인에게 감정을 100% 쏟아 붓는 편이며, 함께 할 미래를 자주 생각합니다. 이 때문에 관계의 속도나 방향에 대해 자주 고민하고, 상대에게도 이에 대한 질문을 할 수 있습니다. ENFJ는 상대방의 감정을 계속 확인하고 싶어 하며, 대화가 잘 통하는 연인을 가장 선호합니다. 눈치가 빠르고 상대방의 감정을 잘 알아주는 유형이기 때문에 연인의 감정을 잘 헤아려 줄 줄도 압니다. 이들은 사람을 좋아하고 정이 많은 편으로 연애 관계를 맺고 끊는 것을 어려워합니다. 이 때문에 이별을 겪으면 유난히 힘들어하는 유형입니다."
enfp,"활동가 당신이 생계를 위해 어떤 일을 하는지는 관심이 없다 당신이 추구하는 것은 무엇이고 가슴이 시키는 일을 해낼 수 있다고 생각하는지 궁금할 뿐이다 오리아 마운틴 드리머 활동가(ENFP)는 진정으로 자유로운 영혼이라고 할 수 있으며 외향적이고 솔직하며 개방적인 성격입니다 이들은 활기차고 낙관적인 태도로 삶을 대하며 다른 사람들 사이에서 돋보이곤 합니다 그러나 신나는 인생을 보내는 것처럼 보인다고 해서 즐거움만을 좇는 성격은 아니며, 다른 사람과 감정적으로 깊고 의미 있는 관계를 맺는 일을 추구합니다 일상생활에서 찾는 의미 활동가는 친절하고 사교적인 성격으로 다른 사람과의 관계를 맺는 일과 사교 활동을 즐깁니다 하지만 사교적이고 느긋해 보이는 겉모습과 달리 깊은 내면을 지니고 있으며 상상력과 창의력이 풍부하고 호기심이 많은 성격입니다 활동가는 자기 성찰적인 모습을 보일 때가 있으며, 다른 일에 주의를 기울여야 할 때도 인생의 근본적인 의미와 중요성에 대해 생각하곤 합니다 또한 모든 사물과 사람이 연결되어 있다고 믿으며 이러한 관계에 대한 통찰을 추구합니다 활동가는 독립적이고 창의적인 성격으로 일상생활에서 의미를 찾고자 합니다 활동가는 자신의 상상력을 자극하는 일에 강한 열정을 보이며 이러한 열정은 다른 사람에게도 전달됩니다 또한 긍정적인 에너지로 다른 사람들을 끌어들이고 지도자 역할을 맡게 될 때가 많습니다 그러나 처음의 열망이 사그라들고 나면 일관성과 자제력을 유지하는 데 어려움을 겪거나 이전에 중요하게 생각했던 일을 더는 신경쓰지 않게 될 수도 있습니다 즐거움 추구 활동가는 인생에서 즐거움과 깊은 의미를 동시에 추구하는 성격으로, 열정적인 이상주의자이자 다른 사람을 신경쓰지 않고 즐겁게 춤출 수 있는 자유로운 영혼이기도 합니다 활동가는 사고력과 감정 지능이 뛰어날 뿐만 아니라 여유롭게 즐거운 시간을 보낼 줄도 아는 성격입니다 활동가는 즐거움을 추구하는 동시에 다른 사람과 감정적으로 교류하고 싶어하며, 아끼는 사람들과 진솔하고 가슴 따뜻한 대화를 나누는 일을 중시합니다 활동가는 모든 사람이 자신의 감정을 표현할 수 있어야 한다고 생각하며 공감 능력과 따뜻한 태도로 다른 사람이 마음을 열 수 있도록 돕습니다 다만 다른 사람을 지레짐작하지 않도록 주의할 필요는 있습니다 직관적인 성향으로 인해 다른 사람의 행동을 자신의 방식대로 해석할 때가 있기 때문입니다 상대방이 원하는 것과 의도를 혼자서 파악하려고 하기보다는 직접 상대방에게 물어본다면 인간관계에서 오는 스트레스를 줄이는 데 도움이 될 것입니다 활동가는 진로를 정하기 전에 여러 사람과 관계를 맺고 다양한 감정과 아이디어를 충분히 고려하고 싶어합니다 그리고 자신이 정한 분야에서 상상력과 공감 능력과 용기로 자신의 삶뿐만 아니라 주변 사람 모두를 즐겁게 하는 역할을 합니다"
enfp,"재기발랄한 활동가, 스파크형"
enfp,"정열적이고 활기가 넘치며 상상력이 풍부하다. 온정적이고 창의적이며, 항상 새로운 가능성을 찾고 시도하는 유형이다. 문제 해결에 재빠르고, 관심이 있는 일은 뭐든지 수행해내는 능력과 열성이 있다. 하지만 반복되는 일상적인 일은 참지 못하고 열정을 쏟지 않는다. 또한 한 가지 일을 끝내기도 전에 몇 가지 다른 일을 또 벌이는 경향을 가지고 있다."
enfp,독립적 · 낙천적 · 인기 욕심 · 이상주의 · 개인주의 · 스포트라이트 · 인간관계 감수성 · 붙임성 · 개성 · 폭넓은 대화 주제 · 감정적 · 넓고 얕은 인간관계 · 도전과 즉흥 · 느긋함 · 가족애 · 행동력 · 솔직함 · 공감과 이해 · 명랑함 · 분위기 메이커 · 자율성 · 언변 · 친화력 · 융통성 · 관심과 애정 · 개방적 · 충동적 · 몽상가 · 수용적 · 창의성
enfp,"사람 중심적이며, 사회적 상호 작용에서 많은 에너지를 얻는다.[TR]"
enfp,활기차고 낙관적인 태도로 삶을 대한다.[16P]
enfp,무미건조한 사실이나 가혹한 현실에 대해 이야기하기보다는 창의적인 가능성을 탐구하는 것을 더 선호한다.[TR]
enfp,"약속을 자주 잡고, 노는 것을 좋아하나 혼자만의 시간도 꼭 필요로 한다. 의외로 사람이 너무 많은 곳은 싫어하는 경우도 있다.[AS]."
enfp,세부사항을 다루거나 반복되는 단순노동에 쉽게 지루함을 느낀다.[TR]
enfp,"평범한 일에 대해서는 관심이 거의 없으며, 강렬하고 감각적인 삶을 원한다.[TR]"
enfp,눈앞의 일에 주의를 기울여야 할 때도 삶의 근본적인 의미와 중요성에 대한 생각에 빠지곤 한다.[16P]
enfp,계획하기보다는 몰아서 일을 처리하는 편이다.[AS]
enfp,"건망증이 있다.[TR] 물건을 자주 잃어버리며, 연예인 얼굴도 자주 까먹는다."
enfp,외부 세계에 관심이 많아 새로운 시도를 좋아한다.[AS][37]
enfp,"독특한 공감 능력을 가지고 있다. 다른 사람의 감정보다는 자신의 감정을 더 중요시하지만[38], 상상력이 좋아서[39] 쉽게 다른 사람의 입장이 되어볼 수 있다."
enfp,새로운 경험을 좋아하기 때문에 사람들과 쉽게 공유할 수 있는 이야기와 일화를 모으는 경향이 있다.[TR]
enfp,재치있으면서도 언어 습득력이 뛰어나기 때문에 흥미로운 이야기를 잘 만들어낸다.[TR]
enfp,단순한 사건에도 긴장감과 유머를 더할 수 있다. 스토리텔링 능력이 뛰어나다.
enfp,"감정의 기복이 크지만, 가식적이진 않다."
enfp,"평소에는 진정성을 중요하게 여기지만, 불건강한 경우 사람에 따라 가면을 쓰는 경향이 있다.[42] "
enfp,불건강한 경우 과도한 상상력으로 상대의 의도를 왜곡해 피해망상적인 면을 보일 수 있다.[43][TR][16P]
enfp,"이는 ENFP의 무의식적 기능인 Ni(내향 직관)이 주도권을 잡는 경우이며, 사람들을 무조건 의심하게 된다.[46]"
enfp,"철학적 가치관, 개인적 성장과 관련된 주제에 끌린다.[47]"
enfp,진로를 정하기 전에 여러 사람의 의견을 들어보고 다양한 감정과 아이디어를 충분히 고려하고 싶어한다.[16P]
enfp,"건강한 ENFP는 이타적이고 관대하며, 동정심이 많다. 자신의 생각과 아이디어를 공유하는 것을 좋아하며, 다른 사람의 이야기를 듣는 것도 마찬가지로 흥미롭게 여긴다."
enfp,"반면에 불건강한 ENFP는 자신만의 감정에 지나치게 집중하여 자기중심적이 된다. 자신이 겪는 문제가 가장 힘든 일이라고 생각하며, 상대방의 감정적인 여유를 미처 존중해주지 못하고 고민을 일방적으로 털어놓는다. 혹은 고민을 말로 표현하지 않고 끙끙대다 엉뚱한 곳에서 급발진하기도 한다.[49]"
enfp,대부분의 사람들보다 더 깊은 수준에서 인간의 경험을 이해하려 한다.[TR]
enfp,불건강한 ENFP는 상대방의 잘못을 탓하는 데 능한 반면 정작 자기 자신의 잘못은 잘 알아차리지 못한다.
enfp,"서운한 일이 생기면 상대방만의 문제점으로 기억을 조작하고, 그것을 맹신하는 경우도 있다.[51]"
enfp,"밖에서는 활발하나 집에 오면 조용해진다. 혹은 밖에서는 온갖 사람들의 이야기를 들어주지만, 가족들의 이야기는 한 귀로 흘린다."
enfp,내면에 열정과 에너지가 많다.
enfp,큰 일에선 위기 대처능력이 뛰어나다. 하지만 오히려 작은 일에선 쉽게 당황하는 편이다.
enfp,멀티태스킹을 잘 하는 경우가 많다.
enfp,타인을 기쁘게 하는 방법을 잘 알고 있다.
enfp,"사람을 쉽게 밀쳐내지 못하고, 거절도 잘 못한다."
enfp,"아무도 나서지 않을 때 행사나 일을 잘 주선한다. 다만 보통 '이걸 하자!' 선에서 끝나며, 구체적인 계획은 없다.[AS]"
enfp,외모에 관심이 많아 멋 내는 것을 좋아한다.[AS]
enfp,자연스럽고 적응력이 뛰어나기 때문에 친구가 매우 많다.[TR]
enfp,이상주의자이다.[AS] 그래서 현실을 벗어나 우주로 떠나보고 싶어하는 경우도 많다.
enfp,단순 암기에 약하다.[AS].
enfp,다양한 것에 흥미를 갖지만 금방 질려하는 경우가 많다.
enfp,아무말대잔치를 잘한다.[AS].
enfp,"주기능은 Ne(외향 직관)으로 두뇌 회전이 빠른 편이고, 직관력을 이용하여 어떤 사안에 대한 대략적인 이해가 뛰어나다.[AS]"
enfp,하기 싫은 것에 대한 인내심이 부족하다.[AS]
enfp,3차 기능은 Te(외향 사고)로 자기가 하고 싶은 것을 할 때는 누구보다 열정적이지만 자기가 싫어하는 것은 죽어도 안 한다.[AS]
enfp,좋아하는 사람과 싫어하는 사람에 대한 구분이 커서 표정에 다 티가 난다.[AS]
enfp,타인에게 싹싹하고 성격이 시원시원하다.[AS]
enfp,분위기를 잘 띄운 후에 자기는 빠진다.[AS]
enfp,의사소통 능력과 대인관계 만족도가 타 유형에 비해 높다. 
enfp,"가장 무해한 성격유형 중 하나다. 자신의 세계에서 살기에 너무 바빠서 타인에게 해를 끼치는 건 관심 밖이기 때문이다. 종종 충동적이며 무책임할 때도 있지만, 성격 자체는 대체로 온화하다. "
enfp,"자신을 향한 비판을 받아들이기보단 방어적으로 대응한다. 비판을 받으면 지나치게 많은 생각을 하고 불안해하며, 자기학대를 하기도 한다. 이들에겐 비판보다 격려가 더 효과적이다."
enfp,감정이 얼굴에 솔직하게 그대로 드러난다.[AS]
enfp,자신의 자신감을 뒷받침하기 위해 외부의 인정을 필요로 한다.
enfp,선악의 구분이 다소 확실한 편이다.[AS]
enfp,개방적이고 변화를 쉽게 받아들일 수 있다.[66]
enfp,"상대방이 말하는 이야기가 구체적이지 않을 경우, 전체적인 정황을 파악하기 위해 질문을 퍼붓고는 한다. 문제는 질문한 후 대답을 듣지 않고 딴생각을 한다는 것이다."
enfp,"말을 거는 데 두려움이 없어, 외국어 실력에 비해 의사소통을 매우 잘한다. 언어 회화에 아주 유리한 성격 유형이다."
enfp,평소에 자녀를 이해하려고 하는 편이다.
enfp,불건강한 경우 자녀가 조금만 서운하게 해도 쉽게 토라진다.
enfp,자녀의 언어와 표정에 굉장히 민감하다.
enfp,자녀와 여행을 많이 다니고 싶어한다.
enfp,"자녀의 학업보다는 사회성, 즐거움, 행복을 중요시한다."
enfp,"자녀에게 애정표현, 스킨십을 많이 한다."
enfp,자녀가 가는 길을 대부분 믿고 지지해준다.
enfp,"놀기를 매우 좋아하며, 같이 놀 친구도 잘 만든다."
enfp,"공부에 관심이 많으면 전교 1등 할 정도로 열심히 하고, 관심이 없으면 죽어도 안 한다."
enfp,간혹 자기중심적인 경향이 있어서 가족에게 무심하다는 말을 듣기도 한다.
enfp,외향형이지만 혼자만의 시간도 괜찮아 하는 편이다.
enfp,불건강한 경우 주변의 기대에 완전히 무신경할 수도 있다.
enfp,"엉뚱한 아이디어가 많고, 우주 등에 대한 공상에 잠기기를 좋아한다."
enfp,대체로 지능적으로는 중상위권에 속하는 것과 별개로 학업의 성취도는 최하위권에 속한다.
enfp,"평균 지능 지수(IQ)가 16유형 중 6위이며, '영재성' 발현률의 경우도 6위이다. 그러나 인구 비율을 고려하지 않은 경우 영재 그룹 안에서의 비율은 1위이다.[경향][70]."
enfp,그런데 반대로 대학수학능력시험에서는 성적 평균 종합 16위로 최하위를 기록했다(영어 영역 포함시 자연계 15위 / 인문계 16위)[경향].
enfp,"GPA은 대한민국 기준으로 자연계 남성 13위, 자연계 여성 11위, 인문계 남성 12위, 인문계 여성 13위, 예체능 남성 16위, 예체능 여성 8위로 나타났다.[] 미국 펜실베니아 27개 고교(3,500명)[72] 대상으로는 9위, 아이오와 표본에서는 GPA와 ACT가 각 16위, 12위로 나타났다."
enfp,성향상 문과가 많이 분포하지만 실제 입시 성적은 이과로 지망해도 유리하게 나오는 것으로 밝혀졌다.
enfp,xNFx 중에 수학 성적(학업성취도)이 안 좋은 사람들은 '연습장을 통해 논리적 근거를 제시하는 습관을 길들여야 하고 대수학(식 정리·인수분해·방정식·부등식 등)에서 역량이 크게 떨어지므로 이 부분에 집중 투자할 것'이 필요하다고 조언된다[73].
enfp,평균 소득은 16가지 유형 중 10위이다[74].
enfp,"상담, 교육, 종교 및 예술 분야에서 쉽게 볼 수 있다[TR]."
enfp,가끔 뜬금없는 말을 하기도 하지만 밝은 분위기 조성을 잘하고 다른 사람들과 조화를 잘 이루기 때문에 집단에서도 긍정적인 유형이다.
entj,"통솔자 당신의 시간은 유한하다 그러니 다른 사람의 삶을 사느라 시간을 낭비하지 말라 스티브 잡스 통솔자(ENTJ)는 타고난 리더라고 할 수 있습니다 이들은 카리스마와 자신감을 지니고 있으며 자신의 권한을 이용해 사람들이 공통된 목표를 위해 함께 노력하도록 이끕니다 또한 이들은 냉철한 이성을 지닌 것으로 유명하며 자신이 원하는 것을 성취하기 위해 열정과 결단력과 날카로운 지적 능력을 활용합니다 이들은 전체 인구의 3%에 불과하지만, 다른 많은 성격을 압도하는 존재감을 뽐내며 다양한 비즈니스와 단체를 이끄는 역할을 할 때가 많습니다 목표 달성을 위한 노력 통솔자는 도전을 즐기는 성격으로 충분한 시간과 자원이 주어진다면 어떠한 목표도 달성할 수 있다고 믿습니다 이들은 훌륭한 사업가가 될 가능성이 높으며, 전략적 사고 능력과 장기적 목표에 집중하고 결단력 있게 계획을 실행하는 능력은 위대한 비즈니스 리더가 되는 데 도움이 됩니다 이들은 강력한 의지로 다른 사람이 포기하는 상황에서도 굴하지 않고 목표를 추구하며, 외향적(E) 성향은 다른 사람이 목표를 이루는 과정에 협력하도록 하는 데 도움이 됩니다 통솔자는 거침없는 태도로 협상에서 우위를 점합니다 그렇다고 이들이 냉혈한이거나 악한 의도를 지니고 있는 것은 아닙니다 다만 도전과 지적 대결을 즐기고 재치 있는 논쟁을 즐거워하며, 상대방이 자신의 상대가 되지 않는다고 판단되면 상대방을 거침없이 압도하곤 합니다 통솔자는 ‘내가 감정에 무관심하다고? 일이 효율적으로 진행되는 한 그런 건 별로 신경쓸 필요가 없지’라고 생각하는 성격입니다 통솔자는 자신과 동일하거나 우월한 지적 능력을 갖추고, 깔끔하고 정확하게 일을 처리할 수 있는 사람을 존경합니다 또한 다른 사람의 재능을 파악하는 능력을 지니고 있으며, 이러한 능력은 능력 있는 사람들로 팀을 구성하고 자신의 자만심과 우월감을 억제하는 데 도움이 됩니다 그러나 다른 사람의 실패를 노골적으로 지적하는 성향이 있어 다른 사람과 갈등을 겪을 때도 있습니다 감정 표현의 필요성 모든 분석가형 성격은 자신의 감정을 표현하는 데 익숙하지 않으며, 특히 통솔자는 많은 사람에게 감정적으로 무관심한 사람이라는 인상을 주곤 합니다 그리고 직장에서는 비효율적이거나 무능력하거나 게으르다고 생각하는 사람에게 거침없는 모습을 보일 때가 있습니다 이들은 감정을 드러내는 것은 약점을 드러내는 것과 같다고 생각하는 경향이 있습니다 하지만 이러한 생각은 친밀한 관계를 형성하는 데 도움이 되지 않으며, 직장에서는 목표를 달성하는 일뿐만 아니라 팀원의 인정과 피드백도 중요하다는 사실을 인정할 필요가 있습니다 통솔자는 에너지가 넘치며 위대한 사람이라는 분위기를 풍기곤 합니다 그러나 자신의 위상은 자신뿐만 아니라 주변 사람들 덕분이기도 하다는 사실을 기억해야 하며, 자신을 돕는 사람들의 기여를 인정하고 남의 욕구와 감정에 주의를 기울일 필요가 있습니다 처음에는 다른 사람의 감정을 고려하기 위한 노력이 필요하겠지만, 일단 공감 능력을 확보한다면 자신의 강점을 활용해 의미 있고 만족스러운 인간관계를 구축하는 동시에 값진 성공을 쟁취할 수 있을 것입니다"
entj,'타고난 리더'라고 불리는 이 유형은 권위와 자신감으로 재능을 발휘한다. 또한 공통된 목표를 통해 사람들을 끌어모으는 통솔력을 행사한다. 이들은 문제 해결 과정을 체계화하는 관리자/지도자가 자신의 역할이라고 생각한다. 주로 목표를 달성하기 위한 장기적인 계획 구상을 즐긴다.
entj,"분석적이고 객관적이며, 주변 세계에 자신만의 질서를 부여하는 것을 좋아한다. 질서의 결함이나 비효율성을 빠르게 파악하고, 더 나은 새로운 해결책을 찾는다. 또한 찾는 것에서 그치지 않고 기필코 현실에 구현해내려 하며, 그 과정을 즐긴다. 그래서인지 리더 중에서도 '변화'를 구상하고 조직하는 일에 특출난 편이다."
entj,"ENTJ는 논리적 추론에 두각을 나타내고 책임감 있으며, 책임을 즐기기까지 한다. 언어가 명료한 편이라서 자기 주장도 센 편이다. 목적을 달성할 때면 종종 무자비한 수준의 합리성, 추진력, 결단력, 날카로운 두뇌를 사용한다."
entj,"ENTJ들이 존경하는 사람은 자신과 지식으로 맞서 싸울 수 있는 사람, 자신과 동등한 정도의 정확성과 성품을 가지고 행동할 수 있는 사람이다. 또한 ENTJ는 사람과 거리를 두기 때문에, 사적인 관계를 갖기 보다는 대중들에게 존재감을 어필한다."
entj,"이들은 도전을 좋아하며, 충분한 시간과 자원이 있으면 어떤 목표도 달성할 수 있다고 굳게 믿는 편이다. ENTJ는 전략적으로 생각하고, 계획을 단호하고 정확하게 실행하면서 장기적인 집중력을 발휘한다. 이러한 특성 탓에 강력한 기업가, 나아가 그 기업의 지도자가 될 잠재력을 갖추고 있다."
entj,"이들이 리더가 된다면, 의욕이 없는 일원을 곧바로 밀어 붙일 가능성이 크다. 반면, I(내향형) 리더들은 그들을 배제한 채 일하려는 특성이 있다. 이는 대체로 ENTJ들이 자기 실현적 예언이 강한 특성에 기인한다. 쉽게 말해, 자기 (혹은 자기가 속한 집단이) 성공할 거라고 믿으며, 그 믿음대로 움직이는 성격이라는 뜻이다."
