destination,description,tag,image
제주도,"진달래가 만발하는 화산 등반, 바닷속 깊이 잠수하는 해녀들, 소원을 비는 고대 석상이 있는 곳이 어디일까요? 바로 제주도입니다. 신혼부부(와 한국 드라마 팬들)가 즐겨 찾는 이 인기 휴양지에는 길게 뻗은 황금빛 해변과 굽이진 해안 산책로, 제주도 최대 워터파크인 제주 워터월드가 있습니다. 무엇을 상상하든 이것만은 확실합니다. 이곳의 맛있는 회와 명성이 자자한 제주도 흑돼지구이를 즐기지 않고는 하루의 관광이 완성되지 않습니다.","자연 및 야생동물 서식지 투어, 리조트, 등반, 바",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/59/c2/e9/caption.jpg?w=500&h=400&s=1
비티레부,"비티레부는 피지 공화국에서 가장 큰 섬입니다. 이 섬은 피지 국가의 중심이자 주요 경제 및 문화적 중심지인 수바와 함께 많은 인구가 거주하고 있습니다. 비티레부는 아름다운 해변, 열대 우림, 푸른 바다, 그리고 다양한 문화적 경험을 제공하여 관광객들에게 매력적인 목적지입니다. 비티레부에서는 다양한 활동을 즐길 수 있습니다. 해변에서는 수상 스포츠와 스노클링, 다이빙 등의 해양 활동을 즐길 수 있으며, 내륙으로 들어가면 열대 우림에서의 트레킹이나 강 RAFTING 등의 모험적인 활동을 즐길 수 있습니다. 또한, 비티레부에는 피지 문화를 경험할 수 있는 마을과 도시, 역사적인 유적지 등이 있어 관광객들에게 다채로운 경험을 제공합니다.","기항지 투어, 반나절 투어, 문화체험 투어, 스릴 넘치는 체험",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/59/c4/bd/caption.jpg?w=500&h=400&s=1&cx=1049&cy=1353&chk=v1_37ec5b783fd04498f875
첸나이(마드라스),"첸나이의 인종적 다양성이 가지는 특성은, 그 풍부한 문화에 반영되어 있습니다. 또한, 콜리우드라 불리는 화려한 영화 산업과 본격적인 연극 무대를 모두 만나볼 수 있습니다. 지역 전통 무용인 바라트나트얌의 중심지이기도 한 첸나이는, 1월에 퐁갈 축제를 개최하고, 4월에는 신년 맞이 행사를 합니다.","쇼핑, 역사 투어, 역사 유물 탐방, 문화체험 투어",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/4d/46/b8/chennai-madras.jpg?w=500&h=400&s=1
푸에블라,"푸에블라는 멕시코 중남부에 있는 아름다운 도시로, 콜로니얼 어키텍처와 유럽식 광장이 매력적입니다. 이곳은 세계에서 가장 넓은 교회 중 하나인 산 도미고 교회와 멕시코 요리의 중심지로 유명합니다. 또한, 푸에블라는 탈라베라(Talavera) 세라믹 공예품으로도 유명합니다. 이곳은 멕시코 역사와 문화를 경험하고 싶은 여행객들에게 이상적인 여행지입니다.","나이트라이프, 역사 투어, 바, 역사 유물 탐방",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/33/f5/88/puebla.jpg?w=500&h=400&s=1
반둥,"반둥은 인도네시아에서 세 번째로 큰 도시이지만 자카르타와 매우 가깝게 있어서 다소 시원한 기후를 보입니다. 반둥에서는 네덜란드 식민지 시대 건축물과 아름다운 식물원, 동물원, 골프 코스, 다양한 먹거리를 즐길 수 있습니다.","투어 & 관광, 스파, 현지 음식",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/33/b5/d7/p-20180218-153409-largejpg.jpg?w=500&h=400&s=1
파나마시티,"파나마 시티에서는 최상의 시푸드를 즐길 수 있습니다. 레스토랑 쉐프는 요리의 재료로 대서양과 태평양에서 잡은 싱싱한 해산물을 엄선합니다. 파나마 요리 ""세비체""를 한번 드셔보세요. 세비체는 라임 주스에 코르비나 피쉬와 양파, 샐러리, 약간의 고춧가루를 넣고 만든 절임 요리입니다. 유카와 얌을 넣고 만든 치킨 스튜인 ""산꼬초""도 이 지역의 별미입니다.","나이트라이프, 역사 투어, 바, 4WD 투어",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/68/1f/4f/20170114-184400-largejpg.jpg?w=500&h=400&s=1
와라스,와라스는 잉카 제국 이전으로 거슬러 올라가며 문화 교육과 휴식을 함께할 수 있는 여행자들을 위한 좋은 여행지입니다. 무세오 리저널 드 안카시의 고고학 현장과 고대의 돌기둥을 탐험해 보십시오. 좁은 덕 캐년으로 눌러 넣거나 매우 아름다운 보상이 기다리는 도전을 원한다면 우아스카란 국립 공원의 산악 트레일을 하이킹하십시오.,"자연 및 야생동물 서식지 투어, 하이킹 투어, 역사 유물 탐방, 윈터 스포츠",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/5d/9f/66/20161007-130016-largejpg.jpg?w=500&h=400&s=1
나이로비,"사파리로 유명한 나이로비는 야생동물의 생태와 나이트라이프를 즐길 수 있는 역동적이고 모던한 도시입니다. 예전에 마사이족의 우물이 있던 곳에는 활기 넘치는 뮤직 클럽, 상점, 시장, 레스토랑이 즐비하며 다양한 종류의 요리를 즐길 수 있습니다. 주요 명소로는 카렌 박물관, 기린 공원, 코뿔소로 유명한 나이로비 국립 공원이 있습니다. 시내 중심부는 도보 여행을 하더라도 문제 없을 만큼 치안이 좋은 편이며, 택시를 타야 갈 수 있는 지역도 있습니다.","당일치기 여행 & 관광, 사파리, 4WD 투어",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/e2/a2/39/2017-10-04-12-largejpg.jpg?w=500&h=400&s=1
라파스,"안데스 산맥의 골짜기에 자리 잡은 라파스는 구름과 닿는 도시입니다. 볼리비아의 실질적 수도이자 해발 3300~4100미터 사이에 위치한 라파즈는 세계에서 가장 고도가 높은 수도입니다. 19세기에 지어진 교회와 정복 이전의 시대에 제작된 유물을 전시한 박물관, 위태로운 전망과 다채로운 마켓이 특징인 라파즈는 매우 독특한 도시입니다. 도시 한가운데에 위치한 위치스 마켓에서는 아이마라 족의 의식에 쓰이는 물품과 기념품을 판매합니다.","나이트라이프, 역사 유물 탐방, 4WD 투어, 문화체험 투어",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/44/29/e9/amazing-sights-of-la.jpg?w=500&h=400&s=1
Port Ghalib,"휴양, 모험, 럭셔리가 완벽하게 조화를 이루는 포트 가립은 아는 사람들은 최고로 꼽는 장소입니다. 황금빛 모래사장과 온종일 몸을 담가도 질리지 않는 푸른 바다가 있는 해변들은 특히 매력적입니다. 수면 아래의 세계도 놀랍습니다. 보트를 타고 사타야 리프로 가면 알록달록한 산호초를 탐험하고 돌고래와 함께 수영할 수 있습니다. 물놀이를 충분히 했다면 포트 가립 마리나에서 밤을 보내세요. 요트, 바다에 인접한 식당들, 지중해 분위기 덕분에 일몰을 감상하거나 멋진 저녁 식사를 즐기기에 아주 좋습니다.","나이트라이프, 돌고래와 함께 수영, 리조트, 스파",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/95/d9/01/port-ghalib.jpg?w=500&h=400&s=1
브라쇼브,"루마니아 중심에 있는 브라쇼브는 전통적인 매력과 현대적인 도시 생활이 조화를 이루고 있습니다. 도시를 운행하는 이층 버스에 탑승하여 주위를 살피고 휙휙 지나치는 풍경들을 바라본 다음 유럽에서 가장 좁은 거리인 스트라다 스포리에서 내리십시오. 하루 시간을 내어 프레지메르의 요새화된 교회, 자유의 불곰 보호 구역 및 드라큘라 성이라고도 하는 매우 불길한 브란성을 방문하십시오.","나이트라이프, 고스트 투어, 역사 투어, 문화체험 투어",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/60/b5/51/vue-de-la-ville-depuis.jpg?w=500&h=400&s=1
만타,"만타에는 세계적으로 손꼽히도록 아름다운 해변, 문화와 역사, 인생 최고의 해산물까지 없는 게 없습니다. 매일 배구 경기, 일광욕, 멋진 일몰을 즐기기 위해 온 도시 사람이 모이는 플라야 무르시엘라고에서 출발하세요. 해변 매점에서 파는 (특별히 예술의 경지인) 세비체까지 먹으면 더할 나위 없습니다. 현지 문화를 (그리고 더 많은 해산물도) 즐기고 싶다면 엘 메르카도 센트럴에 들러 직접 고른 생선을 구워 먹거나, 센트럴 뱅크 박물관에서 에콰도르의 역사를 짧지만 알차게 알아보세요. 사람들의 발길이 닿지 않은 곳으로 떠나고 싶다면 로스 프라일레스 해변으로 가서 청록색 바다와 절벽에서 내려다보이는 풍경을 감상하세요. 사진으로 남길 가치가 있습니다. 만타에서 약 1시간 거리에 있지만, 가는 시간이 아깝지 않은 곳입니다.","나이트라이프, 기항지 투어, 휴식",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/5f/c6/c9/vista-desde-el-faro.jpg?w=500&h=400&s=1
카사블랑카,"카사블랑카는 모로코의 경제 중심지로 아름다운 해안과 현대적인 건축물로 유명합니다. 모하메드 오두아드 모스크(Mohammed V Mosque)는 아랍식 어키텍처로 눈길을 끌며, 아틀란틱 오션 프런트의 산책로는 휴식하기에 좋습니다. 레알 더트 마켓과 갤러리는 모로코 현대 예술을 즐길 수 있는 장소입니다. 또한, 해산물 요리와 타지인(Tajine) 요리가 인기 있습니다. 카사블랑카는 모로코의 다양한 매력을 경험하고 싶은 이들에게 이상적인 여행지입니다.","역사 투어, 4WD 투어, 문화체험 투어",https://dynamic-media-cdn.tripadvisor.com/media/daodao/photo-o/16/fc/e3/94/photo4jpg.jpg?w=500&h=400&s=1
산티아고,"산티아고는 다양한 볼거리가 많은 대도시입니다. 벨라비스타에는 펑키한 분위기의 카페와 클럽이 즐비하고, 포레스트 파크에는 콜롬부스 이전의 시대에서부터 현대에 이르는 다양한 아트 컬렉션이 전시되어 있습니다. 또한, 16세기의 샌프란시스코 교회 건물에서부터 전면이 글래스인 최고층 빌딩까지 다양한 타입의 건축물을 볼 수 있습니다. 현지 사람들이 즐겨찾는 파노라미코 몰의 상점에서 맛도 좋고 양도 많은 칠리 요리를 즐겨보시기 바랍니다.","와인 시음, 역사 투어, 바, 문화체험 투어",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/af/0e/ab/fachada-do-palacio.jpg?w=500&h=400&s=1
타이페이,번화한 대도시인 타이페이에서는 햇빛에 빛나는 고층 건물과 향 연기로 가득한 고대 사원을 나란히 마주할 수 있습니다. 시먼딩 거리에서 쇼핑하기 전 타이페이 101 위에서 내려다보며 하루를 즐겨보세요. 물론 버블티 한 잔을 손에 들고 말이죠. 밤이 되면 야시장의 수많은 가게를 가로지르며 다양한 음식을 맛보세요. 특대형 프라이드치킨 커틀릿에서 강렬한 냄새를 풍기는 두부 요리까지 이곳의 길거리 음식은 중독성이 있어 더 많이 찾게 될 것입니다.,"자연 및 야생동물 서식지 투어, 쇼핑, 바, 커피 & 차 투어",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/33/f3/33/caption.jpg?w=500&h=400&s=1
두바이,"초현대적인 부르즈 할리파부터 귀금속을 파는 상점으로 가득 찬 시장과 쇼핑몰에 이르기까지 두바이에서는 모든 것이 정말 멋집니다. 상상할 수 있는 모든 것을 실현할 수 있습니다. 예를 들어 실내 스키와 사막의 모래 언덕 서핑, 도시 상공에서 즐기는 집라인이 있습니다. 하지만 화려하고 아드레날린 넘치는 체험만 있는 것은 아닙니다. 알 파히디 역사지구의 구불구불한 골목을 거닐며 19세기 중반 두바이의 모습을 구경하세요. 또는 무슬림이 아닌 사람들에게 개방된 몇 안 되는 모스크 중 하나인 주메이라 모스크에 방문하여 에미리트 문화에 대해 알아보세요. 주메이라 비치 로드에서 거리 예술을 감상하고 샤와르마 가게에서 간단한 식사를 하거나 향신료와 향수를 찾아 하루를 보내고 미슐랭 스타 식당에서 식사를 하세요. 이 외에 더 많은 추천 정보를 아래에서 확인하세요.","사하라 사막 사파리,두바이 해변 리조트 휴양,버즈 칼리파 타워 관람",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/f7/4e/49/dubai.jpg?w=1000&h=600&s=1
발리,"북쪽의 세쿰풀처럼 숨 막히게 아름다운 폭포부터 남쪽 냥냥의 백사장에 이르기까지 발리는 하나의 작은 섬이지만 볼거리가 정말 많습니다. 바투 볼롱의 서퍼를 위한 파도, 스미냑의 나이트클럽, 누사두아의 호화로운 절벽 위 호텔, 섬 곳곳의 영적인 장소들까지, 원하는 모든 것을 찾을 수 있을 것입니다. 천국의 문에서 사진을 찍고, 정글을 지나 숨겨진 구눙 카위 사원에 가고, 울루와뚜 사원에서 일몰과 전통 불춤을 감상하세요. 시장은 반드시 방문해야 합니다. 수카와티 아트 마켓에서 수공예 예술품과 직물을 구경하거나 신두 야시장에서 사테와 박소와 같은 길거리 음식을 간식으로 즐겨보세요. 더 많은 먹거리와 즐길거리를 확인하려면 아래 추천 정보를 확인하세요.","기항지 투어, 래프팅, 스파, 문화체험 투어",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/c7/90/94/caption.jpg?w=500&h=400&s=1
런던,"런던은 예술, 역사, 문화 등 분야를 가리지 않고 모든 것의 중심에 있는 거대한 도시입니다. 하지만 다른 주요 중심지와 차별화되는 점은 지역마다 고유한 분위기가 있다는 점입니다. 켄싱턴에서 가족과 함께 오후를 보내세요. 박물관, 공원, 그 외에도 어린이들이 좋아할 만한 즐길거리가 많이 있습니다. 또는 세련된 쇼디치에서 멋진 상점과 거리의 벽화(사진 촬영에 안성맞춤)를 구경한 다음 소호로 가서 펍에서 맥주 한 잔을 마시거나 클럽에서 새벽까지 파티를 즐길 수 있습니다. 음식도 빼놓을 수 없습니다. 피시 앤 칩스뿐만 아니라 런던에 크게 자리 잡은 방글라데시 커뮤니티 덕분에 차원이 다른 카레 전문점(브릭 레인의 수많은 음식점 중에서 선택)이 있으며 호화로운 메이페어에는 유명 셰프가 운영하는 음식점이 점점 더 늘고 있습니다. 항상 새로운 일이 일어나고 있으며 아래에 더 많은 추천 정보가 있습니다.","역사 투어,바이크 투어,문화체험 투어",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/33/f5/de/london.jpg?w=500&h=400&s=1
하노이,"매력적인 수도 하노이는 구시가와 유적, 식민 양식 건축물 등 오랜 역사의 숨결이 깃든 도시이자 개발의 진척과 더불어 현대적인 도시로서의 면모도 갖추어나가고 있습니다. 탕롱을 비롯하여 도시의 명칭이 수차례 변경되기도 하였으나, 호치민 영묘나 호아로 감옥 등 역사적인 유산은 변함없이 그 모습을 간직하고 있습니다. 호수와 공원, 가로수 그늘이 드리워진 대로, 600여 개의 사원과 파고다 등을 택시를 타고 손쉽게 둘러볼 수 있으며 곳곳에서 도시의 매력을 느낄 수 있습니다.","나이트라이프, 2일 이상 투어, 2일 이상 크루즈 여행, 카약 투어",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/5a/96/cb/cite-imperiale-d-hanoi.jpg?w=500&h=400&s=1
로마,"로마가 세계에서 가장 많은 사람이 방문하는 장소 중 하나인 이유를 쉽게 알 수 있습니다. 온 도시에 유적이 있고(판테온, 콜로세움 등), 거의 모든 광장에 걸작 조각이 있으며, 물론 말도 안 되게 맛있는 음식이 있습니다. 모든 여행이 폭풍처럼 느껴질 수 있지만 여유를 가지고 속도를 늦추어 보면 많은 놀라운 모습들을 발견하게 될 것입니다. 트라스테베레에서 일요일 아침을 보내고 포르타 포르테세 벼룩시장에서 빈티지 물건을 찾아보세요. 아니면 학생들이 많이 사는 매력적인 분위기의 산 로렌조에 가 보세요. 트렌디한 상점, 갤러리, 거리 예술을 볼 수 있습니다. 저녁 식사 시간이 아직 늦지 않았으니 프라티에서 식전주를 드셔보세요. 바티칸에서 걸어갈 수 있고 거리에는 이색적인 술집이 즐비합니다. 에너지가 넘치는 곳이니 휴식이 필요하면 (말 그대로) 언덕으로 향하세요. 녹음이 우거진 아벤티노 언덕에서 평화로운 정원과 도시의 최고 전망을 누리세요. 항상 체험해 볼 즐길거리가 있으며 아래에 더 많은 추천 정보가 있습니다.","역사 투어,예술 감상,문화체험 투어,베시카 투어",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/c9/6c/08/caption.jpg?w=500&h=400&s=1
파리,"파리는 로맨틱한 휴가를 보낼 수 있는 도시로 정말 유명합니다. 하지만 방문자들의 마음을 사로잡는 것은 파리 그 자체입니다. 거대한 석재와 연철로 지어진 건물, 아늑한 카페가 가득한 거리, 센강의 굽이굽이 있는 강둑은 영화의 한 장면 같습니다. 하지만 이 도시의 매력은 눈에 보이는 것만이 아닙니다. 요리 문화가 풍성하여 닭고기를 푹 고아 만든 푸짐한 코코뱅, 황금빛 버터 크루아상 등 꼭 맛봐야 할 프랑스 음식 목록은 끝이 없습니다. 현대적인 퓨전 요리와 세계 각국의 독창적인 요리도 꼭 맛보세요. (파리에서 맛보는 팔라펠은 단연코 훌륭합니다.) 골목길을 헤매고, 천천히 박물관을 구경하고, 미로 같은 상점들을 둘러보며 파리 여행의 진정한 묘미를 느껴보세요. 해가 지면 샹 드 마르로 향하여 어둠 속에 반짝이는 에펠 탑의 탁 트인 전망을 감상하세요.","문화체험 투어,역사 탐방,시내 배낭 여행,음식 투어",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/c2/86/0e/caption.jpg?w=500&h=400&s=1
칸쿤,"칸쿤은 봄방학을 맞은 학생들(그리고 마음만은 언제나 봄인 분들)에게 꽤 잘 알려진 곳입니다. 즐거움 가득한 분위기, 길게 펼쳐진 리조트, 밤새 이어지는 밤문화는 맛보기에 불과합니다. 이 도시는 휴가객을 위한 종합선물 세트라 해도 과언이 아닌 멕시코의 명소입니다. 벨벳같이 부드러운 해변은 카리브해가 선사하는 최고의 선물로 손꼽히며, 스쿠버 다이버와 스노클링 애호가는 500점 이상의 조각상이 거대한 수중 박물관을 이루고 있는 수바쿠티코 데 아르테 박물관을 비롯해 다양한 바다 액티비티를 즐길 수 있습니다. 도시 외곽에 있는 치첸이트사 피라미드 같은 유적지에서는 이 지역의 신성한 마야 유산에 심취할 수 있습니다.","기항지 투어, 래프팅, 스파, 문화체험 투어",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/ae/5d/ec/caption.jpg?w=500&h=400&s=1
마라케시,"활기차고 사람들로 북적이는 마라케시는 그 자체만으로 에너지가 충만합니다. 이곳이 모로코에서 가장 많은 사람들이 방문하는 도시인 데에는 이유가 있습니다. 마라케시의 중심지를 확인하려면 번화한 분위기의 메디나로 향하세요. 성벽으로 둘러싸여 있으며 도시의 중심 광장으로 사용되는 유서 깊은 지역입니다. 메디나에서 경험할 것이 너무 많아서 결정하기 힘들다면 시장에서 현지 상품을 둘러보고, 무어 건축물을 감상하고, 길거리 음식을 배불리 먹으며 메디나에 빠져 보세요. 느긋하게 마라케시를 음미하고 싶으신가요? 그렇다면 시크릿 가든, 바히아 궁전, 테크니컬러로 유명한 마조렐 정원 같은 곳에 들러보세요. 너무나도 멋진 풍경과 함께 여유로운 분위기를 즐길 수 있습니다. 그리고 언제든지 마라케시에 많은 고급 스파나 편안한 터키식 목욕탕 중 한 곳에서 시간을 보낼 수 있습니다. 아래에서 꼭 가봐야 할 명소들을 둘러보세요.","역사 투어, 4WD 투어, 문화체험 투어",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/33/dd/8f/caption.jpg?w=500&h=400&s=1
